CVE ID,Severity,CVSS,EPSS %,Risk Score,SSVC Priority,SSVC Notation,Title,Vendors,Published
CVE-2025-47812,CRITICAL,10.0,99.72,88,ACT,A/Y/T,"CVE-2025-47812: In Wing FTP Server before 7.4.4. the user and admin web interfaces mishandle '\0' bytes, ultimately ...","Ftp, Total, Wftpserver",2025-07-10
CVE-2025-3248,CRITICAL,9.8,99.681,88,ACT,A/Y/T,Langflow Unauth RCE,Langflow-ai,2025-04-07
CVE-2024-4577,CRITICAL,9.8,99.961,88,ACT,A/Y/T,Argument Injection in PHP-CGI,"PHP, Php Group, The",2024-06-09
CVE-2024-4885,CRITICAL,9.8,99.916,88,ACT,A/Y/T,WhatsUp Gold GetFileWithoutZip Directory Traversal Remote Code Execution Vulnerability,Progress Software Corporation,2024-06-25
CVE-2024-4040,CRITICAL,9.8,99.982,88,ACT,A/Y/T,Unauthenticated arbitrary file read and remote code execution in CrushFTP,"Crushftp, The",2024-04-22
CVE-2024-4358,CRITICAL,9.8,99.95,88,ACT,A/Y/T,Registration Authentication Bypass Vulnerability,"Progress Software Corporation, Report",2024-05-29
CVE-2024-4879,CRITICAL,9.8,99.952,88,ACT,A/Y/T,Jelly Template Injection Vulnerability in ServiceNow UI Macros,Servicenow,2024-07-10
CVE-2024-11680,CRITICAL,9.8,99.778,88,ACT,A/Y/T,ProjectSend Unauthenticated Configuration Modification,Projectsend,2024-11-26
CVE-2024-55591,CRITICAL,9.6,99.916,88,ACT,A/Y/T,CVE-2024-55591: An Authentication Bypass Using an Alternate Path or Channel vulnerability [CWE-288] affecting FortiO...,Fortinet,2025-01-14
CVE-2024-36401,CRITICAL,9.8,99.981,88,ACT,A/Y/T,Remote Code Execution (RCE) vulnerability in evaluating property name expressions in Geoserver,"Geoserver, Source",2024-07-01
CVE-2024-51567,CRITICAL,10.0,99.927,88,ACT,A/Y/T,CVE-2024-51567: upgrademysqlstatus in databases/views.py in CyberPanel (aka Cyber Panel) before 5b08cd6 allows remot...,N/a,2024-10-29
CVE-2024-51378,CRITICAL,10.0,99.857,88,ACT,A/Y/T,CVE-2024-51378: getresetstatus in dns/views.py and ftp/views.py in CyberPanel (aka Cyber Panel) before 1c0c6cb allow...,N/a,2024-10-29
CVE-2024-27198,CRITICAL,9.8,100.0,88,ACT,A/Y/T,CVE-2024-27198: In JetBrains TeamCity before 2023.11.4 authentication bypass allowing to perform admin actions was p...,Jetbrains,2024-03-04
CVE-2024-5217,CRITICAL,9.8,99.901,88,ACT,A/Y/T,Incomplete Input Validation in GlideExpression Script,Servicenow,2024-07-10
CVE-2024-45519,CRITICAL,10.0,99.908,88,ACT,A/Y/T,"CVE-2024-45519: The postjournal service in Zimbra Collaboration (ZCS) before 8.8.15 Patch 46, 9 before 9.0.0 Patch 4...",N/a,2024-10-02
CVE-2024-12356,CRITICAL,9.8,99.835,88,ACT,A/Y/T,Command Injection Vulnerability in Remote Support(RS) & Privileged Remote Access (PRA),Beyondtrust,2024-12-17
CVE-2024-34102,CRITICAL,9.8,99.898,88,ACT,A/Y/T,XXE can expose crypt key and other secrets granting full admin access,Adobe,2024-06-13
CVE-2024-3272,CRITICAL,9.8,99.906,88,ACT,A/Y/T,D-Link DNS-320L/DNS-325/DNS-327L/DNS-340L HTTP GET Request nas_sharing.cgi hard-coded credentials,D-link,2024-04-04
CVE-2024-3400,CRITICAL,10.0,99.945,88,ACT,A/Y/T,PAN-OS: Arbitrary File Creation Leads to OS Command Injection Vulnerability in GlobalProtect,Palo Alto Networks,2024-04-12
CVE-2024-8963,CRITICAL,9.4,99.96,88,ACT,A/Y/T,CVE-2024-8963: Path Traversal in the Ivanti CSA before 4.6 Patch 519 allows a remote unauthenticated attacker to ac...,Ivanti,2024-09-19
CVE-2024-23692,CRITICAL,9.8,99.935,88,ACT,A/Y/T,Rejetto HTTP File Server 2.3m Unauthenticated RCE,"File, Rejetto",2024-05-31
CVE-2024-7593,CRITICAL,9.8,99.986,88,ACT,A/Y/T,CVE-2024-7593: Incorrect implementation of an authentication algorithm in Ivanti vTM other than versions 22.2R1 or ...,Ivanti,2024-08-13
CVE-2024-50603,CRITICAL,10.0,99.953,88,ACT,A/Y/T,CVE-2024-50603: An issue was discovered in Aviatrix Controller before 7.1.4191 and 7.2.x before 7.2.4996. Due to the...,Aviatrix,2025-01-08
CVE-2024-21413,CRITICAL,9.8,99.848,88,ACT,A/Y/T,Microsoft Outlook Remote Code Execution Vulnerability,Microsoft,2024-02-13
CVE-2024-21762,CRITICAL,9.6,99.738,88,ACT,A/Y/T,"CVE-2024-21762: A out-of-bounds write in Fortinet FortiOS versions 7.4.0 through 7.4.2, 7.2.0 through 7.2.6, 7.0.0 t...",Fortinet,2024-02-09
CVE-2024-13160,CRITICAL,9.8,99.761,88,ACT,A/Y/T,CVE-2024-13160: Absolute path traversal in Ivanti EPM before the 2024 January-2025 Security Update and 2022 SU6 Janu...,Ivanti,2025-01-14
CVE-2024-13161,CRITICAL,9.8,99.693,88,ACT,A/Y/T,CVE-2024-13161: Absolute path traversal in Ivanti EPM before the 2024 January-2025 Security Update and 2022 SU6 Janu...,Ivanti,2025-01-14
CVE-2024-13159,CRITICAL,9.8,99.864,88,ACT,A/Y/T,CVE-2024-13159: Absolute path traversal in Ivanti EPM before the 2024 January-2025 Security Update and 2022 SU6 Janu...,Ivanti,2025-01-14
CVE-2024-1709,CRITICAL,10.0,99.947,88,ACT,A/Y/T,Authentication bypass using an alternate path or channel,Connectwise,2024-02-21
CVE-2024-1212,CRITICAL,10.0,99.957,88,ACT,A/Y/T,LoadMaster Pre-Authenticated OS Command Injection,Progress Software,2024-02-21
CVE-2025-61882,CRITICAL,9.8,99.171,87,ACT,A/Y/T,CVE-2025-61882: Vulnerability in the Oracle Concurrent Processing product of Oracle E-Business Suite (component: BI ...,Oracle,2025-10-05
CVE-2025-31161,CRITICAL,9.8,99.274,87,ACT,A/Y/T,CVE-2025-31161: CrushFTP 10 before 10.8.4 and 11 before 11.3.1 allows authentication bypass and takeover of the crus...,"Crushftp, Ftp, The",2025-04-03
CVE-2025-2747,CRITICAL,9.8,99.216,87,ACT,A/Y/T,Kentico Xperience Staging Sync Server None password type authentication bypass,"Kentico, Sync, The",2025-03-24
CVE-2025-53770,CRITICAL,9.8,99.36,87,ACT,A/Y/T,Microsoft SharePoint Server Remote Code Execution Vulnerability,"Microsoft, Sharepoint",2025-07-20
CVE-2025-0282,CRITICAL,9.0,99.902,87,ACT,A/Y/T,"CVE-2025-0282: A stack-based buffer overflow in Ivanti Connect Secure before version 22.7R2.5, Ivanti Policy Secure...",Ivanti,2025-01-08
CVE-2025-1316,CRITICAL,9.8,99.334,87,ACT,A/Y/T,Edimax IC-7100 IP Camera OS Command Injection,Edimax,2025-03-04
CVE-2024-28987,CRITICAL,9.1,99.933,87,ACT,A/Y/T,SolarWinds Web Help Desk Hardcoded Credential Vulnerability,Solarwinds,2024-08-21
CVE-2024-20439,CRITICAL,9.8,99.436,87,ACT,A/Y/T,"CVE-2024-20439: A vulnerability in Cisco Smart Licensing Utility (CSLU) could allow an unauthenticated, remote attac...",Cisco,2024-09-04
CVE-2024-8956,CRITICAL,9.1,99.371,86,ACT,A/Y/T,PTZOptics NDI and SDI Cameras /cgi-bin/param.cgi Insufficient Authentication,Ptzoptics,2024-09-17
CVE-2024-48248,HIGH,8.6,99.881,86,ACT,A/Y/T,CVE-2024-48248: NAKIVO Backup & Replication before 11.0.0.88174 allows absolute path traversal for reading files via...,Nakivo,2025-03-04
CVE-2024-6047,CRITICAL,9.8,98.803,86,ACT,A/Y/T,GeoVision EOL device - OS Command Injection,Geovision,2024-06-17
CVE-2025-10035,CRITICAL,10.0,98.229,85,ACT,A/Y/T,Deserialization Vulnerability in GoAnywhere MFT's License Servlet,Fortra,2025-09-18
CVE-2025-32433,CRITICAL,10.0,98.153,85,ACT,A/Y/T,Erlang/OTP SSH Vulnerable to Pre-Authentication RCE,"Erlang, Ssh",2025-04-16
CVE-2024-11120,CRITICAL,9.8,98.303,85,ACT,A/Y/T,GeoVision EOL devices - OS Command Injection,Geovision,2024-11-15
CVE-2024-3273,HIGH,7.3,99.981,84,ACT,A/Y/T,D-Link DNS-320L/DNS-325/DNS-327L/DNS-340L HTTP GET Request nas_sharing.cgi command injection,D-link,2024-04-04
